,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender
0,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,-3,61,Every three months,Female
1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+2,51,Every three months,Female
2,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+1,62,Every three months,Female
3,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+4,69,Once a week,Female
4,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,+2,49,Once a month,Male
5,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,55,Every three months,Male
6,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,+2,56,Every three months,Female
7,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a week,Female
8,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,58,Once a year,Male
9,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,32,Every three months,Female
10,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-2,53,Every three months,Female
11,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+3,28,Once a month,Male
12,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,65,Every three months,Male
13,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,54,Once a month,Male
14,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,67,Once a month,Male
15,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,51,Once a month,Male
16,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,34,Once a month,Female
17,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,+2,31,Once a month,Male
18,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-4,47,Every three months,Female
19,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I love it!+5,37,More than once a week,Male
20,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+2,41,Once a year,Female
21,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,+2,36,Once a month,Male
22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,-2,23,Once a week,Female
23,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,50,More than once a week,Female
24,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,39,Every three months,Female
25,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,0,35,Every three months,Female
26,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,20,Every three months,Male
27,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,0,34,Once a month,Female
28,No,Yes,No,No,No,Yes,No,No,No,No,No,0,55,Every three months,Male
29,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,24,Every three months,Female
30,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,44,Once a month,Male
31,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,40,Once a month,Female
32,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,55,Once a month,Male
33,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,37,Never,Male
34,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,48,Once a week,Male
35,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,54,Every three months,Female
36,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,38,Every three months,Female
37,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,49,Every three months,Female
38,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,35,Never,Female
39,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,55,Once a year,Male
40,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,+2,31,Once a year,Male
41,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,57,More than once a week,Male
42,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,69,More than once a week,Male
43,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,37,Every three months,Female
44,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,60,Never,Male
45,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+2,36,Once a month,Male
46,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,+1,54,Every three months,Male
47,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,66,Once a month,Male
48,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,32,Once a month,Female
49,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,67,Once a year,Male
50,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,42,Once a week,Female
51,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,26,Once a month,Female
52,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,58,Once a year,Female
53,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,48,Once a month,Male
54,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,54,Once a month,Female
55,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,62,Once a year,Male
56,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,52,Once a year,Female
57,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,53,Every three months,Male
58,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,47,More than once a week,Male
59,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,26,Once a month,Female
60,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,I love it!+5,29,Once a week,Female
61,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,24,Once a week,Male
62,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,25,Once a week,Female
63,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,54,Once a month,Male
64,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,23,Once a month,Female
65,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,0,34,Never,Female
66,No,Yes,No,No,No,No,No,No,Yes,No,No,+1,47,Every three months,Male
67,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+3,22,Once a week,Male
68,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0,47,Once a year,Male
69,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,56,Once a month,Male
70,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-1,55,Every three months,Male
71,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,56,Every three months,Female
72,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,0,56,Every three months,Female
73,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,37,Every three months,Female
74,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,50,Once a week,Female
75,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-1,40,Every three months,Male
76,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,61,Once a week,Male
77,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-2,55,Every three months,Male
78,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,45,Once a year,Female
79,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+1,42,Once a month,Male
80,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,+2,52,Every three months,Male
81,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,58,Once a year,Female
82,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,48,Once a month,Male
83,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,58,Once a week,Male
84,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,18,Once a year,Male
85,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,68,Once a month,Female
86,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,+1,49,Once a month,Female
87,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,I hate it!-5,50,Once a week,Female
88,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,43,Every three months,Female
89,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,+4,67,Every three months,Male
90,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,40,Once a week,Female
91,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,I hate it!-5,35,Never,Male
92,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,42,Every three months,Female
93,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,41,Every three months,Female
94,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,32,Once a month,Male
95,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+3,21,Once a month,Female
96,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,56,Once a week,Female
97,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,+2,27,Every three months,Male
98,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,48,Once a year,Female
99,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,32,Once a week,Male
100,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+3,50,Once a month,Male
101,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,42,Once a year,Female
102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I love it!+5,35,More than once a week,Male
